LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1095081,41.057377049180324,70,0.01
1095082,46.795081967213115,82,0.01
1095086,3.3333333333333335,19,0.00
1095087,1.3428571428571427,3,0.00
1095092,21.147540983606557,32,0.00
1095093,25.418032786885245,41,0.01
1095097,2.168539325842697,8,0.00
1095098,7.60655737704918,22,0.00
1095099,3.2745098039215685,10,0.00
1095104,339.5983606557377,521,0.07
1095105,21.80327868852459,39,0.00
1095107,337.3032786885246,521,0.07
1095108,13.025,26,0.00
1095109,2.484536082474227,7,0.00
1095110,2.4285714285714284,6,0.00
1095112,1.3125,2,0.00
1095113,1.2666666666666666,4,0.00
1095116,141.64754098360655,203,0.03
1095117,138.18032786885246,198,0.03
1095118,20.0327868852459,36,0.00
1095119,39.91803278688525,60,0.01
1095120,41.83606557377049,68,0.01
1095121,3.3181818181818183,9,0.00
1095122,54.01639344262295,100,0.01
1095123,6.793388429752066,14,0.00
1095124,9.934426229508198,19,0.00
1095125,1.173913043478261,4,0.00
1095126,1.2222222222222223,3,0.00
1095127,105.07377049180327,161,0.02
1095128,116.1311475409836,182,0.02
1095129,29.524590163934427,48,0.01
1095130,73.0,124,0.02
1095133,5.450819672131147,10,0.00
1095134,14.385245901639344,26,0.00
1095135,12.540983606557377,27,0.00
1095136,60.21311475409836,102,0.01
1095137,33.28688524590164,58,0.01
1095138,26.852459016393443,45,0.01
1095139,14.049180327868852,26,0.00
1095140,13.652892561983471,29,0.00
1095141,17.172131147540984,43,0.00
1095142,19.557377049180328,47,0.00
1095143,85.97540983606558,135,0.02
1095144,17.675,33,0.00
1095145,20.483333333333334,49,0.00
1095146,7.032786885245901,19,0.00
1095147,14.614754098360656,34,0.00
1095148,19.71311475409836,38,0.00
1095149,14.262295081967213,25,0.00
1095150,22.21311475409836,37,0.00
1095151,20.59016393442623,36,0.00
1095152,52.0,87,0.01
1095153,61.032786885245905,100,0.01
1095154,92.72950819672131,150,0.02
1095155,36.442622950819676,64,0.01
1095156,23.39344262295082,45,0.00
1095157,9.19672131147541,18,0.00
1095158,11.708333333333334,26,0.00
1095159,30.198347107438018,61,0.01
1095160,150.52459016393442,270,0.03
1095161,16.42982456140351,35,0.00
1095162,128.45901639344262,236,0.03
1095163,2.151898734177215,7,0.00
1095164,1.105263157894737,3,0.00
1095165,92.60655737704919,170,0.02
1095166,276.71311475409834,502,0.06
1095167,220.91803278688525,417,0.05
1095168,15.034188034188034,35,0.00
1095169,15.836065573770492,29,0.00
1095170,22.4672131147541,43,0.00
1095176,23.081967213114755,46,0.00
1095177,69.50819672131148,110,0.01
1095178,59.122950819672134,98,0.01
1095179,32.9344262295082,59,0.01
1095180,2.730769230769231,12,0.00
1095181,25.549180327868854,51,0.01
1095184,14.401639344262295,35,0.00
1095185,3.736842105263158,12,0.00
1095186,2.627450980392157,7,0.00
1095189,3.0121951219512195,13,0.00
1095190,9.049180327868852,17,0.00
1095191,1.5106382978723405,7,0.00
1095193,135.7622950819672,203,0.03
1095194,90.97540983606558,147,0.02
1095195,57.0655737704918,98,0.01
1095196,16.352459016393443,29,0.00
1095197,80.63934426229508,136,0.02
1095198,61.21311475409836,109,0.01
1095204,1.4,3,0.00
1095206,86.59836065573771,145,0.02
1095207,139.9672131147541,202,0.03
1095208,40.48360655737705,58,0.01
1095209,38.30327868852459,58,0.01
1095210,26.540983606557376,45,0.01
1095211,12.860655737704919,26,0.00
1095212,46.57377049180328,80,0.01
1095213,13.024590163934427,23,0.00
1095214,14.40983606557377,25,0.00
1095215,85.68032786885246,142,0.02
1095216,1.08,2,0.00
1095217,9.057851239669422,25,0.00
1095218,147.31147540983608,214,0.03
1095219,80.27049180327869,118,0.02
1095220,73.14754098360656,114,0.02
1095221,140.0737704918033,221,0.03
1095222,7.347107438016529,16,0.00
1095223,5.582608695652174,12,0.00
1095225,34.80327868852459,62,0.01
1095226,9.565573770491802,22,0.00
1095227,578.5327868852459,800,0.12
1095228,19.12295081967213,36,0.00
1095229,46.59836065573771,80,0.01
1095230,4.135593220338983,12,0.00
1095231,16.139344262295083,32,0.00
1095232,11.721311475409836,29,0.00
1095233,1.1111111111111112,2,0.00
1095234,16.450819672131146,32,0.00
1095235,17.631147540983605,34,0.00
1095236,9.655737704918034,17,0.00
1095237,16.958677685950413,32,0.00
1095238,16.16393442622951,30,0.00
1095239,7.139344262295082,18,0.00
1095240,27.0327868852459,45,0.01
1095241,10.041666666666666,17,0.00
1095242,7.9491525423728815,17,0.00
1095243,15.229508196721312,26,0.00
1095245,40.50819672131148,63,0.01
1095246,6.508333333333334,18,0.00
1095247,7.216666666666667,18,0.00
1095249,36.09836065573771,53,0.01
1095250,19.950819672131146,37,0.00
1095251,5.959016393442623,12,0.00
1095252,5.483606557377049,13,0.00
1095253,12.204918032786885,25,0.00
1095254,26.278688524590162,43,0.01
1095255,35.868852459016395,57,0.01
1095256,13.327868852459016,30,0.00
1095257,24.450819672131146,44,0.01
1095258,25.172131147540984,44,0.01
1095259,23.442622950819672,40,0.00
1095260,15.663934426229508,25,0.00
1095261,13.360655737704919,21,0.00
1095262,16.934426229508198,34,0.00
1095263,16.942622950819672,33,0.00
1095264,14.762295081967213,26,0.00
1095265,15.762295081967213,32,0.00
1095266,11.206611570247935,20,0.00
1095267,3.739130434782609,11,0.00
1095268,13.598360655737705,26,0.00
1095269,14.450819672131148,26,0.00
1095270,6.871559633027523,13,0.00
1095273,15.434426229508198,30,0.00
1095274,4.384615384615385,10,0.00
1095275,2.0934579439252334,6,0.00
1095278,27.262295081967213,46,0.01
1095279,58.59836065573771,106,0.01
1095281,201.9344262295082,324,0.04
1095282,545.7622950819672,807,0.11
1095283,43.98360655737705,72,0.01
1095288,44.868852459016395,75,0.01
1095289,267.2704918032787,416,0.06
1095291,5.190082644628099,13,0.00
1095292,30.057377049180328,48,0.01
1095294,87.77049180327869,350,0.02
1095295,12.737704918032787,23,0.00
1095296,452.5081967213115,674,0.09
1095297,317.8114754098361,485,0.07
1095298,36.557377049180324,69,0.01
1095299,143.44262295081967,346,0.03
1095300,20.40983606557377,33,0.00
1095302,7.347107438016529,19,0.00
1095303,1.5569620253164558,4,0.00
1095304,1.3064516129032258,4,0.00
1095305,1.5333333333333334,4,0.00
1095306,20.214876033057852,38,0.00
1095307,22.959016393442624,45,0.00
1095308,22.098360655737704,41,0.00
1095309,29.868852459016395,55,0.01
1095310,27.549180327868854,48,0.01
1095311,15.885245901639344,31,0.00
1095312,18.549180327868854,33,0.00
1095313,151.1639344262295,239,0.03
1095318,129.95901639344262,209,0.03
1095319,736.8688524590164,1101,0.15
1095320,41.99180327868852,70,0.01
1095321,43.72950819672131,71,0.01
1095323,387.6803278688525,583,0.08
1095324,375.1311475409836,538,0.08
1095334,23.614754098360656,56,0.00
1095335,26.4672131147541,55,0.01
1095336,38.90983606557377,63,0.01
1095337,60.32786885245902,98,0.01
1095338,79.50819672131148,128,0.02
1095339,34.82786885245902,62,0.01
1095341,712.344262295082,1026,0.15
1095342,312.5081967213115,486,0.07
1095344,138.64754098360655,230,0.03
1095345,707.1803278688525,1017,0.15
1095346,351.04918032786884,511,0.07
1095347,329.11475409836066,512,0.07
1095348,284.8114754098361,456,0.06
1095349,95.88524590163935,576,0.02
1095350,264.40983606557376,430,0.06
1095351,246.4262295081967,362,0.05
1095352,6.482758620689655,14,0.00
1095353,6.333333333333333,15,0.00
1095354,876.3032786885246,1300,0.18
1095356,89.3688524590164,153,0.02
1095357,80.21311475409836,149,0.02
1095359,2.081081081081081,6,0.00
1095360,2.0549450549450547,5,0.00
1095361,2.2526315789473683,5,0.00
1095362,2.8839285714285716,12,0.00
1095364,3.705357142857143,11,0.00
1095365,2.9,7,0.00
1095366,1.7241379310344827,5,0.00
1095367,86.07377049180327,151,0.02
1095368,2.4680851063829787,7,0.00
1095369,2.5698924731182795,7,0.00
1095371,6.579831932773109,13,0.00
